1,984566573711,989435454754,15/06/2020 10:10:10,11,1,100.5,Switch1,Switch2,1;2;3;4,Extra2,Extra3,Extra4,Extra5
1,984566573711,989435454754,15/06/2020 10:10:10,11,1,100.5,Switch1,Switch2,1;2;3,Extra2,Extra3,Extra4,Extra5
1,984566573711,989435454754,15/06/2020 10:10:10,8,1,100.5,Switch1,Switch2,1;2;3;4;5,Extra2,Extra3,Extra4,Extra5
2,984582327422,984566573766,15/06/2020 05:43:13,6,2,394.0,Switch1,Switch2,1;2;3;4,Extra2,Extra3,Extra4,Extra5
2,984582327422,984566573766,15/06/2020 05:43:13,7,2,394.0,Switch1,Switch2,1;2;3;4,Extra2,Extra3,Extra4,Extra5
2,984582327422,984566573766,15/06/2020 05:43:13,7,2,394.0,Switch1,Switch2,1;2;3,Extra2,Extra3,Extra4,Extra5
2,984582327422,984566573766,15/06/2020 05:43:13,7,2,394.0,Switch1,Switch2,1;2;3,Extra2,Extra3,Extra4,Extra5
2,984582327422,984566573766,15/06/2020 05:43:13,5,2,394.0,Switch1,Switch2,1;2;3;4;5,Extra2,Extra3,Extra4,Extra5
2,984582327422,984566573766,15/06/2020 05:43:13,7,2,394.0,Switch1,Switch2,1;2;3;4;5,Extra2,Extra3,Extra4,Extra5
1,984343483433,984482342333,15/06/2020 15:58:24,7,3,905.4,Switch1,Switch2,1;2;3;4;5,Extra2,Extra3,Extra4,Extra5
1,984343483433,984482342333,15/06/2020 15:58:24,7,3,905.4,Switch1,Switch2,1;2;3;4;5,Extra2,Extra3,Extra4,Extra5
1,984343483433,984482342333,15/06/2020 15:58:24,7,3,905.4,Switch1,Switch2,1;2;3;4;5,Extra2,Extra3,Extra4,Extra5
1,999999777777,888888666666,15/06/2020 11:58:24,16,3,666.6,Switch1,Switch2,1;2;3;4,Extra2,Extra3,Extra4,Extra5
