9986113287,,,,,,,600,,,1,06/01/2020 08:00:00,,,,,,,100,
9986113297,,,,,,,250,,,2,06/01/2020 08:01:00,,,,,,,200,
9986113277,,,,,,,480,,,3,06/01/2020 08:02:00,,,,,,,300,
9986113257,,,,,,,60,,,4,06/01/2020 08:10:00,,,,,,,400,
9986113777,,,,,,,120,,,5,06/01/2020 08:15:00,,,,,,,500,
9986213217,,,,,,,70,,,6,06/01/2020 08:17:00,,,,,,,600,
9986113277,,,,,,,600,,,7,06/02/2020 20:00:00,,,,,,,1500,
9986173287,,,,,,,300,,,8,06/02/2020 20:02:00,,,,,,,1600,
9986113288,,,,,,,120,,,9,06/02/2020 20:03:00,,,,,,,1700,
9986113277,,,,,,,600,,,11,06/03/2020 19:00:00,,,,,,,-1900,
9986173287,,,,,,,300,,,12,06/03/2020 19:02:00,,,,,,,2000,
9986113288,,,,,,,120,,,13,06/03/2020 19:03:00,,,,,,,2100,
9986113286,,,,,,,60,,,14,06/03/2020 19:04:00,,,,,,,2200,
9986113287,,,,,,,600,,,1,06/04/2020 08:00:00,,,,,,,100,
9986113297,,,,,,,240,,,2,06/04/2020 08:01:00,,,,,,,200,
9986113277,,,,,,,480,,,3,06/04/2020 08:02:00,,,,,,,300,
9986113257,,,,,,,60,,,4,06/04/2020 08:10:00,,,,,,,400,
9986113777,,,,,,,110,,,5,06/04/2020 08:15:00,,,,,,,500,
9986213217,,,,,,,60,,,6,06/04/2020 08:17:00,,,,,,,600,
9986113277,,,,,,,600,,,7,06/05/2020 20:00:00,,,,,,,1500,
9986173287,,,,,,,300,,,8,06/05/2020 20:02:00,,,,,,,1600,
9986113288,,,,,,,120,,,9,06/05/2020 20:03:00,,,,,,,1700,
9986113286,,,,,,,60,,,10,06/05/2020 20:04:00,,,,,,,1800,
9986113277,,,,,,,600,,,11,06/06/2020 19:00:00,,,,,,,-1900,
9986173287,,,,,,,300,,,12,06/06/2020 19:02:00,,,,,,,2000,
9986113288,,,,,,,120,,,13,06/06/2020 19:03:00,,,,,,,2100,
9986113286,,,,,,,60,,,14,06/06/2020 19:04:00,,,,,,,2200,
9986113287,,,,,,,600,,,1,06/07/2020 08:00:00,,,,,,,100,
9986113297,,,,,,,230,,,2,06/07/2020 08:01:00,,,,,,,200,
9986113277,,,,,,,480,,,3,06/07/2020 08:02:00,,,,,,,300,
9986113257,,,,,,,60,,,4,06/07/2020 08:10:00,,,,,,,400,
9986113777,,,,,,,120,,,5,06/07/2020 08:15:00,,,,,,,500,
9986213217,,,,,,,60,,,6,06/07/2020 08:17:00,,,,,,,600,
9986113277,,,,,,,600,,,7,06/08/2020 20:00:00,,,,,,,1500,
9986173287,,,,,,,300,,,8,06/08/2020 20:02:00,,,,,,,1600,
9986113288,,,,,,,120,,,9,06/08/2020 20:03:00,,,,,,,1700,
9986113286,,,,,,,60,,,10,06/08/2020 20:04:00,,,,,,,1800,
9986113277,,,,,,,600,,,11,06/09/2020 19:00:00,,,,,,,-1900,
9986173287,,,,,,,300,,,12,06/09/2020 19:02:00,,,,,,,2000,
9986113288,,,,,,,120,,,13,06/09/2020 19:03:00,,,,,,,2100,
9986113286,,,,,,,60,,,14,06/09/2020 19:04:00,,,,,,,2200,
