984563786573,98563643423,01/06/2020 10:10:10,000029,834.4
980724674347,98563573943,01/06/2020 00:13:00,000019,395
985465786573,92346323423,01/06/2020 12:00:20,000007,44.43
986745645657,94432344453,01/06/2020 22:30:34,000098,5765.39
983454656576,98341223423,01/06/2020 02:28:50,000190,8937.39
989435454754,98563643343,01/06/2020 05:43:13,000001,2.50
984582327434,98563643422,01/06/2020 15:58:24,000090,5000.50
984482342333,48563643423,01/06/2020 23:20:58,000023,54.43
984343483434,94563623434,01/06/2020 07:03:30,000001,2.50
980343848454,98534533423,01/06/2020 01:18:04,000001,2.50
980724674347,98563573943,01/06/2020 00:13:00,000019,395
984582327434,98563643422,01/06/2020 15:58:24,000090,5000.50
986745645657,94432344453,01/06/2020 22:30:34,000098,5765.39
984563786573,98563643423,02/06/2020 10:10:10,000029,834.4
980724674347,98563573943,02/06/2020 00:13:00,000019,395
985465786573,92346323423,02/06/2020 12:00:20,000007,44.43
986745645657,94432344453,02/06/2020 22:30:34,000098,5765.39
983454656576,98341223423,02/06/2020 02:28:50,000190,8937.39
989435454754,98563643343,02/06/2020 05:43:13,000001,2.50
984582327434,98563643422,02/06/2020 15:58:24,000090,5000.50
984482342333,48563643423,02/06/2020 23:20:58,000023,54.43
984343483434,94563623434,02/06/2020 07:03:30,000001,2.50
980343848454,98534533423,02/06/2020 01:18:04,000001,2.50
984563786573,98563643423,02/06/2020 10:10:10,000029,834.4
980724674347,98563573943,02/06/2020 00:13:00,000019,395
985465786573,92346323423,02/06/2020 12:00:20,000007,44.43
984563786573,98563643423,03/06/2020 10:10:10,000029,834.4
980724674347,98563573943,03/06/2020 00:13:00,000019,395
985465786573,92346323423,03/06/2020 12:00:20,000007,44.43
986745645657,94432344453,03/06/2020 22:30:34,000098,5765.39
983454656576,98341223423,03/06/2020 02:28:50,000190,8937.39
989435454754,98563643343,03/06/2020 05:43:13,000001,2.50
984582327434,98563643422,03/06/2020 15:58:24,000090,5000.50
984482342333,48563643423,03/06/2020 23:20:58,000023,54.43
984343483434,94563623434,03/06/2020 07:03:30,000001,2.50
980343848454,98534533423,03/06/2020 01:18:04,000001,2.50
984482342333,48563643423,03/06/2020 23:20:58,000023,54.43
984343483434,94563623434,03/06/2020 07:03:30,000001,2.50
980343848454,98534533423,03/06/2020 01:18:04,000001,2.50
980343848455,98534533424,03/06/2020 01:18:05,000002,3.5
980343848456,98534533425,03/06/2020 01:18:06,000003,4.5
980343848457,98534533426,03/06/2020 01:18:07,000004,5.5
980343848458,98534533427,03/06/2020 01:18:08,000005,6.5
980343848459,98534533428,03/06/2020 01:18:09,000006,7.5
980343848460,98534533429,03/06/2020 01:18:10,000007,8.5
980343848461,98534533430,03/06/2020 01:18:11,000008,9.5
980343848462,98534533431,03/06/2020 01:18:12,000009,10.5
980343848463,98534533432,03/06/2020 01:18:13,000010,11.5
980343848464,98534533433,03/06/2020 01:18:14,000011,12.5
980343848465,98534533434,03/06/2020 01:18:15,000012,13.5
